+---------------------------------------------------------------------+
|  Log file: pa.characterize.log                                      |
|  Compiler version: 9.7.0                                            |
|  Created on: Mon Mar 18 10:04:18 2024                               |
|  Run ID: d38c234a2b012315                                           |
+---------------------------------------------------------------------+

Program: lldpd.p4

-----------------------------------------------------------------------------------------------------------------------------------------
| Container |  Gress  |                   Name                   | Class |  | P | 0 | 1  | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | D |
-----------------------------------------------------------------------------------------------------------------------------------------
|    phv0   | ingress |                                          | OL,SH |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   [31:0]  | ingress |     hdr.cpu_metadata.switch_id[31:0]     |  pkt  |  | W | ~ | W  | ~ | ~ | ~ | ~ | ~ | ~ | ~ | ~ | ~  | ~  | R |
|   [31:0]  | ingress |         hdr.lldp.switch_id[31:0]         |  pkt  |  | W | ~ | RW | ~ | ~ | ~ | ~ | ~ | ~ | ~ | ~ | ~  | ~  | R |
|    phv1   | ingress |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   [31:0]  | ingress |           meta.switch_id[31:0]           |  meta |  |   | W | R  |   |   |   |   |   |   |   |   |    |    |   |
|    phv2   | ingress |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   [31:0]  | ingress |        hdr.ethernet.dstAddr[31:0]        |  pkt  |  | W | ~ | W  | ~ | ~ | ~ | ~ | ~ | ~ | ~ | ~ | ~  | ~  | R |
|    phv3   | ingress |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   [31:0]  | ingress |               meta.r[31:0]               |  meta |  |   |   |    |   | W |   |   |   |   |   |   |    |    |   |
|    phv4   |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|    phv5   |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|    phv6   |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|    phv7   |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|    phv8   |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|    phv9   |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv10   |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv11   |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv12   |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv13   |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv14   |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv15   |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv16   |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv17   |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv18   |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv19   |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv20   |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv21   |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv22   |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv23   |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv24   |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv25   |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv26   |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv27   |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv28   |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv29   |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv30   |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv31   |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv32   |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv33   |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv34   |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv35   |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv36   |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv37   |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv38   |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv39   |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv40   |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv41   |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv42   |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv43   |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv44   |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv45   |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv46   |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv47   |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv48   |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv49   |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv50   |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv51   |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv52   |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv53   |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv54   |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv55   |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv56   |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv57   |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv58   |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv59   |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv60   |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv61   |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
|   phv62   |    -    |                                          |       |  |   |   |    |   |   |   |   |   |   |   |   |    |    |   |
